brand,branch,addr,sido,sigugun,dongmyun,lat,lng
배스킨라빈스,강릉주문진점,강원 강릉시 주문진읍 주문로 53 (교항리),강원도,강릉시,주문진읍,37.8887328,128.8254826
배스킨라빈스,강릉유천점,강원 강릉시 홍제동 1022-4 1층,강원도,강릉시,홍제동,37.7568207,128.8700634
배스킨라빈스,강릉교동점,강원 강릉시 교동광장로 135,강원도,강릉시,교동,37.7645286,128.8796723
배스킨라빈스,강릉대학로점,강원 강릉시 경강로 2096,강원도,강릉시,임당동,37.7545310,128.8962015
배스킨라빈스,강릉포남점,강원 강릉시 포남동 1186,강원도,강릉시,포남동,37.7701659,128.9126992
배스킨라빈스,강릉입암점,"강원 강릉시 입암동 708-1, 1층 105호(입암동)",강원도,강릉시,입암동,37.7595347,128.9189689
배스킨라빈스,강릉이마트점,강원 강릉시 경강로 2398-10 (송정동) 이마트 1층,강원도,강릉시,송정동,37.7705547,128.9226542
배스킨라빈스,동해나안점,강원 동해시 나안동 177-7,강원도,동해시,나안동,37.4863022,129.1097397
배스킨라빈스,동해천곡점,강원 동해시 대학로 31 101호,강원도,동해시,천곡동,37.5228128,129.1122426
배스킨라빈스,삼척쏠비치점,강원 삼척시 갈천동 225 로비 1층,강원도,삼척시,갈천동,37.4710553,129.1645705
배스킨라빈스,삼척남양점,강원 삼척시 남양동 17-13,강원도,삼척시,남양동,37.4437700,129.1637193
배스킨라빈스,속초조양점,"강원 속초시 동해대로 4024,111(조양동,1층111~112호)",강원도,속초시,조양동,38.1902066,128.5945497
배스킨라빈스,속초중앙점,강원 속초시 중앙로 136,강원도,속초시,중앙동,38.2028604,128.5909012
배스킨라빈스,강원양구점,강원 양구군 양구읍 중앙길 9,강원도,양구군,양구읍,38.1070449,127.9893862
배스킨라빈스,영월점,강원 영월군 영월읍 중앙로 17,강원도,영월군,영월읍,37.1836759,128.4656135
배스킨라빈스,문막점,강원 원주시 문막읍 건등리 200-6 1층,강원도,원주시,문막읍,37.3204064,127.8329361
배스킨라빈스,원주기업센텀점,강원 원주시 지정면 가곡리 1497-1,강원도,원주시,지정면,37.3825159,127.8730546
배스킨라빈스,원주기업스타점,"강원 원주시 지정면 신지정로 211, 스타세븐상가 156호",강원도,원주시,지정면,37.3741912,127.8727314
배스킨라빈스,원주단계점,강원 원주시 단계동 1216,강원도,원주시,단계동,37.3520636,127.9260707
배스킨라빈스,원주터미널점,강원 원주시 서원대로 171 원주시외버스터미널,강원도,원주시,단계동,37.3448152,127.9308917
배스킨라빈스,원주무실점,강원 원주시 무실동 1857-10 (시네씨티타워 1층),강원도,원주시,무실동,37.3348592,127.9301490
배스킨라빈스,원주태장점,강원 원주시 북원로 2706,강원도,원주시,태장동,37.3850834,127.9479381
배스킨라빈스,원주중앙점,강원 원주시 원일로 122-2 (중앙동),강원도,원주시,중앙동,37.3504942,127.9483258
배스킨라빈스,원주구곡점,"강원 원주시 단구동 1511-1 스타프라자 103,104호",강원도,원주시,단구동,37.3310482,127.9484535
배스킨라빈스,원주단관점,강원 원주시 단구로 369,강원도,원주시,단구동,37.3231945,127.9573987
배스킨라빈스,원주반곡점,"강원 원주시 늘품로 187-58 (단구동, 현대아카데미프라자) 113호, 114호",강원도,원주시,단구동,37.3373337,127.9641115
배스킨라빈스,원주혁신점,강원 원주시 반곡동 1885-3,강원도,원주시,반곡동,37.3236422,127.9793896
배스킨라빈스,강원인제점,강원 인제군 인제읍 상동리 295-6,강원도,인제군,인제읍,38.0681107,128.1724144
배스킨라빈스,철원동송점,강원 철원군 동송읍 이평리 680-6,강원도,철원군,동송읍,38.2080767,127.2184125
배스킨라빈스,철원와수점,강원 철원군 서면 와수로146번길 1 (와수리),강원도,철원군,서면,38.2367908,127.4370980
배스킨라빈스,춘천이마트점,강원 춘천시 온의동 511번지 이마트춘천점 1층,강원도,춘천시,온의동,37.8638082,127.7183660
배스킨라빈스,춘천퇴계점,강원 춘천시 행촌로 28,강원도,춘천시,퇴계동,37.8591383,127.7242250
배스킨라빈스,춘천한숲시티점,강원 춘천시 퇴계동 1240,강원도,춘천시,퇴계동,37.8543308,127.7309852
배스킨라빈스,춘천온의점,강원 춘천시 온의동 590 온의롯데캐슬스카이클래스 1층,강원도,춘천시,온의동,37.8698281,127.7184844
배스킨라빈스,춘천석사점,강원 춘천시 지석로 75,강원도,춘천시,석사동,37.8513182,127.7437076
배스킨라빈스,춘천명동점,강원 춘천시 중앙로 67번길 3,강원도,춘천시,중앙로2가,37.8791219,127.7268229
배스킨라빈스,강원대점,강원 춘천시 효자동 628-10,강원도,춘천시,효자동,37.8729210,127.7445803
배스킨라빈스,춘천애막골점,강원 춘천시 석사동 729-1,강원도,춘천시,석사동,37.8672927,127.7543095
배스킨라빈스,춘천강북점,강원 춘천시 충열로 10-13,강원도,춘천시,우두동,37.9001596,127.7289568
배스킨라빈스,춘천후평점,강원 춘천시 후석로 296,강원도,춘천시,후평동,37.8777866,127.7517423
배스킨라빈스,춘천우두점,강원 춘천시 우두6길 5 (우두동),강원도,춘천시,우두동,37.9078807,127.7326889
배스킨라빈스,춘천장학점,강원 춘천시 동면 장학리 1007-5,강원도,춘천시,동면,37.8929749,127.7555870
배스킨라빈스,강원태백점,강원 태백시 황지로 172 (황지동),강원도,태백시,황지동,37.1737174,128.9911457
배스킨라빈스,평창알펜시아점,강원 평창군 대관령면 솔봉로 325 알펜시아 콘도 101동 R05호,강원도,평창군,대관령면,37.6581327,128.6714455
배스킨라빈스,강원횡계점,강원 평창군 대관령면 대관령마루길 7 (횡계리),강원도,평창군,대관령면,37.6685269,128.7107703
배스킨라빈스,비발디파크점,강원 홍천군 서면 한치골길 262 (팔봉리),강원도,홍천군,서면,37.6523371,127.6873348
배스킨라빈스,홍천중앙로점,강원 홍천군 홍천읍 꽃뫼로 99-2,강원도,홍천군,홍천읍,37.6918117,127.8847725
배스킨라빈스,강원화천점,강원 화천군 화천읍 중앙로 11,강원도,화천군,화천읍,38.1048133,127.7055188
배스킨라빈스,강원횡성점,강원 횡성군 횡성읍 문정로 21 (읍하리),강원도,횡성군,횡성읍,37.4898639,127.9860058
배스킨라빈스,청평점,경기 가평군 청평면 청평중앙로 70 (청평리),경기도,가평군,청평면,37.7391895,127.4216899
배스킨라빈스,가평현리점,"경기 가평군 조종면 조종희망로 14 (현리, 엄마손해장국)",경기도,가평군,조종면,37.8181696,127.3501827
배스킨라빈스,flow가평휴게소상행점,경기 가평군 설악면 미사리로 544 (미사리) 가평휴계소 서울방향 1층,경기도,가평군,설악면,37.7017101,127.5434584
배스킨라빈스,가평휴게소하행점,경기 가평군 설악면 미사리 149-4 가평휴계소 춘천방향 1층,경기도,가평군,설악면,37.7016962,127.5465562
배스킨라빈스,가평점,경기 가평군 가평읍 가화로 124(1층1호),경기도,가평군,가평읍,37.8307417,127.5134831
배스킨라빈스,고양향동점,경기 고양시 덕양구 향동동 530,경기도,고양시 덕양구,향동동,37.5988443,126.8925676
배스킨라빈스,고양지축역점,"경기 고양시 덕양구 지축로 62 (지축동, 아인시티)",경기도,고양시 덕양구,지축동,37.6495361,126.9149833
배스킨라빈스,고양스타필드점,경기 고양시 덕양구 동산동 370 스타필드고양 1층 1267호,경기도,고양시 덕양구,동산동,37.6471016,126.8947736
배스킨라빈스,고양트레이더스점,"경기 고양시 덕양구 동산동 370, 지하 2층(일부)층",경기도,고양시 덕양구,동산동,37.6471016,126.8947736
배스킨라빈스,고양원흥점,경기 고양시 덕양구 도내동 957,경기도,고양시 덕양구,도내동,37.6350412,126.8714415
배스킨라빈스,행신서정점,"경기 고양시 덕양구 중앙로 438 (행신동, 아름터프라자)",경기도,고양시 덕양구,행신동,37.6180013,126.8467303
배스킨라빈스,고양삼송점,경기 고양시 덕양구 삼송동 326-2,경기도,고양시 덕양구,삼송동,37.6508365,126.8843680
배스킨라빈스,고양행신역점,경기 고양시 덕양구 충장로 18,경기도,고양시 덕양구,행신동,37.6144060,126.8344690
배스킨라빈스,고양원흥역점,"경기 고양시 덕양구 권율대로 672 (원흥동, 3호선 원흥역 봄오피스텔)",경기도,고양시 덕양구,원흥동,37.6498655,126.8741742
